,teks,sentimen
1153,harga jtan laku,2
308,sekali ngecharge berapa lama coba buru or jalan jauh tiba lowbat gimana coba fungsional sangat lemah banding bbm,0
1126,masalah perintah tengok bawah kondisi ekonomi rakyat,0
972,kasih ppn pkb gratis tol gratis parkir lama berapa tahun gt naik minat,2
1382,pinter banget perintah kirain cuma cuma nyata mancing pabrik mol indonesia,2
1215,infrastruktur siap main launching,2
260,iya usaha,0
766,mahal lama chas rumah jangan harap laku orang sekarang mau bikin kapitalisme coba nokia xiomi awal bisnis laku keras contoh,2
164,harga mahal rusak buang,1
1265,th depan info batrey secondnan gan,0
664,rakyat miskin mampu beli mikir mikir,0
994,manja cuma buat belnja pasar alfa indomart anter anak sekolah anter mamah arisan nongki senayan dar buat pamer y a masalah masyrkt kecil buat angkut sana angkut sini jarak tempuh jauh kuat nanjak bawa rombong jamah jamah,0
11,mungkin subsidi baik arah seragam sekolah bila lama guna seragam sekolah hapus negara ri mungkin subsidi seragam sekolah minimal rasa marah jengkel kpd saudara bangsa n tanah air terus terus rusak bangsa n negara ri dg laku korupsi macam terus terus ma af jk salah,0
1402,moga depan program konversi bbm dg harga jangkau sangat sayang salah satu jenis tua koleksi sekarang,0
518,mulai dulu transportasi umum kayak bis kota bikin elektrik biasa dulu masyarakat,0
961,ajar konvesional dulu apa daya dukung ssmakan daya dukung baru,2
388,masyarakat miskin,0
712,berani pusing mikirin tengah jalan habis batre mau charge sisa tau pergi pulang,0
297,lebih baik bau laku transportasi umum tanggung perintah wilayah kota,0
1314,hrg msh blm trjangkau,1
540,coba produsen kendara utama china misal motor tahun pake kendara kyk apa banding kyk motor honda yamaha kawasaki vespa,0
46,proyek ambisius gagal total,0
806,jangan subsidi arah beli bagi besar rakyat indonesia banyak bingung cari nafkah penuh butuh hidup harga butuh pokok makin hari makin mahal,0
1221,kelarangen regane bro,1
1095,sepeda dulu bukan motor sepeda,0
1366,batre hp ledak apa batre china motor ledak tutup mungkin ngeri enak motor beat aman cicil murah irit,0
1364,susah aki tekor pelosok beda sama bbm pelosok mudah dapat,0
701,subsidi kurang pas syarat susah,0
926,banyak daerah sering padam gimana mau alih kendara,2
290,beli tengah atas banyak masyarakat tengah bawah motor dealernya terasebar kota besar daerah mungkin difikirkan beli,0
724,luar negri laku indonesia laku,1
353,buru hrsnya masuk kesekmen motor kalo mau subsidi trasportasi massal bajay angkot taxi grab gojek jenis bus blm perlu subsidi,1
885,hm terlalu penting masyarakat mau kerja n gaji layak rumah tempat tinggal beli,0
659,makan susah apalgi mau beli mank hrga murah,2
1029,mana kemarin bilang awat ev lebih murah,2
761,biar buat orang kaya karna bahkan bila guna bbm pindah moblis jamin pln kewalahan rumah tekor byar pet karna habis buat nge charge moblis tak sisa buat kulkas rice cooker ac kompor henti halusinasi ubah bbm moblis lebih,0
704,ngomong belepotan,1
1390,padahal beli sayang s jamin bank padahal perlu dana buat kembang usaha,2
959,gencar transportasi publik,1
1322,kendara ingin masyarakat indonesia harga bawah jt bahkan bawah jt jarak tempuh minimal km muat banyak tumpang minimal tumpang bagasi lega kuat nanjak,0
449,mending uang buat subsidi bbm subsidi buat oligarki,2
1341,benar masalah pakai dlm kota hemat luar biasa orang indonesia suka uda beli jual mikirnya susah jual harga jual gmana masalah brand jepang dichina brand jepang uda mulai turun pamor harga jual beli uda obral diindo orng percaya jepang drpd china padahal tecknologi ev china uda mantap mudah masalah diindo dichina semua pakai ev udara bersih hemat kantong biaya ngecas murah biaya servis murah sekali contoh pakai dichina ev kilo kena biaya cas rmb rp bensin kilo biaya isi minyak rp biaya servis ev kilo rp besin kena biaya rp sedan kecil enak sekali pakai suara senyap rasa mewah,0
39,coba cek jabat staf ngomong soal sehariya pakai,0
779,harga mahal coba bikin ukur suv ev harga tara avanza xenia xpander laku harga segitu,2
1398,ingat kompor,0
638,akibat niat cuma pamer citra salah subsidi tepat,0
492,pribadi sih motor sangat bahaya suara mesin knalpot jalan belok anggap kendara malah timbul crash suara oke sebut klakson seperti semua orang reflek belok blind spot pencet klakson,0
876,kelas tengah suka lebih irit ongkos lebih boros pke bensin,0
529,harga mahal jelas,2
1210,bawah jt banyak beli sekarang harga range jt jt lalu orang indonesia pikir harga jual merek kendara turun turun keluarga pakai model umum mata masyarakat indonesia model lcgc indonesia mungkin perintah wajib pertamina milik tempat charger jangan cuma jakarta seluruh kota indonesia,0
338,tarik harga mahal tempat isi baterai enak biasa isi pertamax mana pakai modifikasi mudah,0
550,angota dpr tau rakyat butuh bantu kenapah korupsi terus padahal kalian hidup enak tunjagan hidup gaji uang bensin uang pensiun sampe kok klu nga pecat yah,0
1472,keluarin harga lcgc perlu sebut subsidi sila bisik perintah produsen kendara,1
924,sayang uang habis buat subsidi kendara alangkah baik subsidi alih didik umkm sehat,2
339,harga china jt sampe sini dibandrol jt subsidi jt konsumen jt harga china wuling miniev rpjt indonesia jt,2
285,pertama mahal jauh atas bbm uji awet sampe puluh tahun bbm bukti,0
1506,program konversi motor baru libat bumn pasti masif pln pertamina program cicil libat karyawan kemudian bantu dana usaha bumn gala sepeda kantor sempat buat booming konversi sepeda beberapa waktu lalu timbul efek multiplier kurang tekan impor bbm selamat pln rugi akibat akibat tumbuh ekonomi hambat gara pandemi kuat rupiah stabil ekonomi kendara bukan kendara jabat perintah wajib masalah bakar kendara misal pakai baterai biasa pakai charge ulang dg bagi sering kena air utama sepeda beberapa kurang optimal anti air,0
249,subsidi buat angkot,1
666,ikut tambah mungkin perlu pantau perihal coba terap kendara umum lebih coba kenal dini masyarakat luas perlu tambah sistem dingin efisien baterai tanggulang suhu panas pakai suhu panas el nino sistem dingin baterai sangat pasti ledak perlu tambah ruang simpan baterai aman banjir hasil hujan deras tahan daya bentur keras tanjak perlu teliti internal upgrade tingkat daya simpan baterai tuju konsumen puas lama daya pakai baterai akhir lama masalah banjir air hujan beres kecil mungkin terima masyarakat luas nb baik terap angkut umum daerah darat lebih tinggi laut,0
573,murah harga motor subsidi baru masuk akal,2
237,hasil sampah limbah bahaya pakai manusia cerdas bbm polusi limnah batere bahaya,0
1037,subsidi pangan sehat didik rata bos,2
213,konyol statementnya bilang tinggal energi batubara batubara orang punya sekarang megang nikel indonesia,2
253,beli jtan dpt bbm luas lega nyaman banyak fitur harga segitu waduh amit amit,0
929,dekarbonisasi eeh malah bangun pltu,1
1085,batere ganti tiap tahun harga batre ratus juta sulit masyarakat terima,2
1325,batrai sendiri sedang rusak mgambil partai orang,0
464,gin gimana subsidi bensin cabut alih smw subsidi motor angkut luarkota sperti bus tranportasi antar kota baik murah inprastruktur serius jd jlm kota pake pergi jauh pake trnportasi murah,0
199,rakyat butuh transportasi umum massal nyaman aman bukan kendara pribadi mahal,0
975,mana sih wuliing banyak bet sering papar jalan,1
350,tau produsen rakyat konoha lebih orang miskin kaya artis jabat beli rumah nyicil abad boro boro bayar sulit,0
283,baterai harga mahal usia pakai baterai habis beli harga mahal,2
1387,aneh kendara punya orang mampu kok subsidi lihat perintah pihak orang mampu usaha,0
699,bukan mau beli,1
1444,bagus mantap tesla,2
147,perintah baik mikirin energi bersih dulu bangkit dominasi pake batubara sok,2
47,tempat chas tambah,1
689,lagi perintah udh tau indonesia jalan makin macet gage ekonomi makin merosot malah impor indonesia siyaap indonesia motuba banyak bagus awat hadeeh apbn negara impor kendara,0
553,larang rakyat kecil jangkau,0
679,anjg maksa kontol kontol,0
272,jual ikut pake siasat jual bbm laku tiap taun produk baru spek tambah baru harga baru lebih mahal awal gausah rangin spek cuan or strategi jual maksimal ful konsep gabakal laku minat sih mgkn ntr or tahun beli dapet ful konsep inovasi baru masa depan kendara drpd sekarang awal spek sampah suka pake alphard btw,2
680,nama baru tahap kembang,2
143,mau laku turun harga,2
223,boro mikir baru buat makan hari banyak susah,0
1462,apa pengaruh juta harga juta,2
281,si muldoko bangkrut,0
1140,moldoko buat apa coba jendral klu kendara laku bikin infrastruktur colok bego tempat ngecas gimana mau pakenya bnyakin dulu spot colok kendara,0
1078,ketar tir orang soal jual rakyat sih adem ayem,0
1213,mutu produk masuk indonesia lama masuk fasilitas charging lama,0
18,buat hari sih sangat guna jalan jauh sih mikir pake charging station keluar kota saudara kota buat charge banyak stasiun chrargenya jg kaya bensin tinggal isi beberapa menit langsung jalan butuh waktu sebentar kritis banget mungkin nyolokin minimarket or rumah orang,0
1316,mahal boz beli udh banyak wuling paling murah jt proper bawa luarkota,0
200,mahal woi,2
1262,coba cnbc cek jual no dunia tahun apa,0
1168,perintah usaha koplaknya beri subsidi untung sendiri sangat miris,0
828,begini bkn laku harga model laku memilki fasilitas umum,2
1372,sila subsidi bbm kembali adil subsidi orang kaya sedangakan bbm kaya miskin,0
417,tunggu kendara jepang tenaga hidrogen,2
676,coba review tipe tengah tengah air ev ioniq padahal tau tipe tengah kuasa jual data no,2
990,harus motor dulu juta motor mesin perlu ganti listitrik,0
810,sejahtera dulu tani ternak sudsidi pupuk pakan ternak teliti tani ternak lebih manfaat rakyat,2
774,stasiun charging kurang banyak desa malah,0
1038,daerah pln sering padam jelas guna berani,2
136,korupsi sih dulu jangan koar negara maju negara makin mundur penjara koruptor malah lebih mirip hotel vip gmna mau jera,0
115,cnbc benar punya siapa berita kok selalu kayak sono terus,0
354,laku enak mesin,2
916,hadir saing pln,0
1008,tagih bengkak nga min,0
291,melunjak pln diam tempat bakal naik naik naik menrurut sering naik biaya,2
1012,kendara jarak tempuh mumpuni jalan indonesia dominan bukit jawbannya ragu blia banding dg mampu kendara bensin jarak tempuh kendara msh pendek jd masalah utama baterai harga baterai kendara harga kendara baterai ny impor luar knp baterai impor luar punya pabrik baterai wong baterai jam dinding msh impor luar jd solusi negara produksi dlu pabrik baterai mungkin br tarik perhati beli indonesia,0
1315,ujung ujung tarif naik,0
351,mending pake diesel sawit,0
127,patut tesla investasi malaysia tesla tahu mampu beli warga indonesia rendah banding malaysia,0
1005,motor bunuh darah dingin tabrak orang diam diam keluar suara,0
1117,makanya subsidi m kaya pns donk,1
827,promo ev harga langit tadi mau beli malah mikir pilih second,2
1346,gimana mo laku harga mahal tempat charge susah,0
955,lebih suka pake motor,2
1255,cashnya lama jam apa lgi subsidi jelas,0
380,harga cekik coba jt banyak rakyat toleh,2
1177,bijak ngaco bela tambah oon kuadrat ekonomi pulih rakyat susah makan kerja nambah bijak aneh aneh siap siap hadap perang lebih luas kesiap baik ekonomi sosial militer,2
1256,subsidi harga mahal tempat charger charger rumah voltase kuat,2
1353,baik kualitas baterai isi service suku cadang pulau jawa garansi baterai kurang th uji tes jalan gunung banyak mekanik,0
1171,coment hebat boong frank sma cnbc,0
1129,umum main fungsionality harga komparatif sama teknologi iya solusi harga inovatif,2
951,indonesia kurng buat cari sumber daya buat isi ulang daya,0
1293,buat apa alih tanggung perintah,0
719,klw uji masyarakat,2
1184,mau kalu mura,2
243,inti masyarakat sdng pikir masalah harga harga charging harga awat harga pajak,2
1376,motor dulu deh,1
424,terlalu mahal,0
651,lihat harga lebih murah konvensional rasa rugi pakai bengkel susah desa jalan dukung,2
1434,insentif tepat,1
1408,tahun punya tertawa tahun mulai rewel utama baterai mulai lemah papa beli baterai bosan baterai ganti harga jual lumayan anjlok,0
444,orang ngomong mau si moeldogkhok,2
841,subsidi tepat sasar maaf,0
788,gaji dpr dprd dpd alihfungiskan ngomong rakyat biasa cuma ngomong,0
847,spertinya untuk tinggl plosok stasiun isi blum biaya service mungkin mahal tukang teknisi bukan mekanik,0
722,kasih gratis laris manis,2
922,kira rakyat goblok,0
1189,butuh masyarakat kendara umum pada,0
1321,sulawesi blum terima kendara beberapa blum sedia tempat isi daya semua spbu sulawesi biasa jalan jauh hari makassar manado biasa laku jalan hari malam klaw rata isi bbm menit spbu mas lebih cepat isi bbm hitung menit ful tangki tunggu isi baterai ber jam waktu buang percuma tunggu isi baterai tutup mungkin jalan lebih lama tempat tuju,0
457,ane mau lmvp harga lcgc konsumsi bbm supra x fi,2
1307,masalah lobang ozon makin buka ada bahan bakar fosil depan mau mau kendara bahan bakar fosil hilang,0
837,harga mahal batrenya sangat mahal walaupun murah harga sangat mahal mending pilih bensin biaya bensin tahun lebih murah harga batrei juta ganti tahun sekali,2
1331,target emisi nol negara tahun,0
932,coba jabat dluan mmberi contoh mungkin lebih mudah sosialisasi depan dorong masyarakat tpi jabat sma boong,0
600,sulit si aplgi tingal kota kecil lebih tarik hybrid krna msih mengunakan bbm beli dmna ketimbng cas lama penuh jrak pakai smpai km,0
1277,angkut umum luas infrastruktur indonesia lebih hemat irit,2
1514,esemka bangga solo,2
