iter	Passed	Remaining
0	48	24078
1	95	23826
2	138	22933
3	183	22782
4	226	22462
5	270	22275
6	311	21923
7	352	21649
8	392	21424
9	431	21161
10	473	21039
11	513	20878
12	556	20831
13	595	20683
14	635	20544
15	679	20540
16	717	20399
17	758	20312
18	797	20180
19	837	20103
20	878	20038
21	918	19947
22	958	19871
23	997	19774
24	1037	19720
25	1076	19629
26	1118	19588
27	1158	19520
28	1198	19467
29	1237	19387
30	1278	19342
31	1318	19278
32	1359	19241
33	1399	19179
34	1440	19131
35	1479	19069
36	1519	19012
37	1559	18957
38	1599	18912
39	1640	18861
40	1681	18829
41	1721	18772
42	1762	18729
43	1802	18678
44	1840	18614
45	1880	18558
46	1921	18519
47	1960	18462
48	2000	18415
49	2039	18358
50	2081	18322
51	2119	18259
52	2160	18223
53	2200	18178
54	2239	18121
55	2279	18070
56	2319	18027
57	2361	17997
58	2401	17953
59	2443	17915
60	2484	17883
61	2524	17831
62	2565	17792
63	2605	17751
64	2646	17712
65	2685	17661
66	2724	17608
67	2765	17566
68	2805	17525
69	2846	17483
70	2887	17444
71	2926	17398
72	2966	17351
73	3005	17304
74	3045	17260
75	3085	17214
76	3126	17173
77	3167	17136
78	3207	17091
79	3247	17051
80	3289	17017
81	3329	16970
82	3371	16939
83	3410	16890
84	3450	16844
85	3490	16802
86	3529	16753
87	3570	16717
88	3610	16670
89	3649	16624
90	3688	16579
91	3729	16538
92	3768	16491
93	3808	16449
94	3848	16407
95	3890	16370
96	3931	16333
97	3970	16287
98	4010	16243
99	4050	16203
100	4089	16156
101	4129	16112
102	4171	16079
103	4214	16045
104	4254	16005
105	4293	15960
106	4334	15921
107	4376	15884
108	4415	15839
109	4455	15795
110	4495	15754
111	4536	15715
112	4575	15670
113	4615	15627
114	4654	15583
115	4695	15544
116	4735	15502
117	4774	15455
118	4813	15412
119	4854	15373
120	4894	15330
121	4934	15290
122	4973	15244
123	5012	15199
124	5053	15159
125	5092	15115
126	5136	15085
127	5175	15041
128	5217	15004
129	5259	14970
130	5301	14934
131	5342	14895
132	5381	14851
133	5422	14809
134	5461	14766
135	5502	14727
136	5544	14690
137	5582	14644
138	5624	14607
139	5666	14571
140	5707	14531
141	5747	14491
142	5787	14448
143	5826	14405
144	5866	14362
145	5919	14352
146	5967	14330
147	6009	14292
148	6048	14248
149	6087	14204
150	6127	14162
151	6166	14119
152	6207	14079
153	6249	14040
154	6291	14003
155	6332	13963
156	6371	13920
157	6411	13877
158	6451	13836
159	6491	13793
160	6529	13748
161	6568	13705
162	6608	13663
163	6649	13624
164	6688	13580
165	6727	13535
166	6766	13492
167	6805	13449
168	6847	13411
169	6886	13368
170	6926	13327
171	6965	13283
172	7006	13242
173	7045	13199
174	7085	13158
175	7125	13117
176	7165	13075
177	7205	13034
178	7244	12992
179	7283	12948
180	7322	12905
181	7361	12862
182	7400	12818
183	7439	12776
184	7476	12730
185	7517	12690
186	7555	12646
187	7594	12604
188	7635	12564
189	7674	12521
190	7714	12481
191	7753	12438
192	7793	12396
193	7834	12357
194	7874	12316
195	7914	12275
196	7960	12244
197	8000	12202
198	8039	12160
199	8080	12120
200	8121	12081
201	8160	12039
202	8199	11996
203	8239	11955
204	8279	11914
205	8321	11876
206	8363	11837
207	8405	11799
208	8444	11758
209	8485	11718
210	8525	11677
211	8565	11635
212	8606	11596
213	8646	11555
214	8686	11514
215	8725	11472
216	8767	11433
217	8807	11392
218	8848	11353
219	8888	11313
220	8929	11273
221	8969	11232
222	9010	11192
223	9050	11151
224	9092	11113
225	9132	11072
226	9174	11033
227	9216	10995
228	9256	10954
229	9295	10912
230	9336	10871
231	9376	10831
232	9417	10791
233	9457	10751
234	9497	10709
235	9537	10668
236	9576	10626
237	9617	10586
238	9656	10545
239	9697	10505
240	9738	10465
241	9777	10424
242	9815	10381
243	9855	10340
244	9896	10300
245	9937	10260
246	9977	10220
247	10023	10185
248	10064	10144
249	10104	10104
250	10144	10063
251	10185	10023
252	10224	9981
253	10265	9942
254	10304	9900
255	10343	9858
256	10382	9816
257	10421	9775
258	10464	9736
259	10506	9698
260	10547	9658
261	10587	9617
262	10626	9576
263	10667	9536
264	10706	9494
265	10746	9453
266	10792	9418
267	10831	9376
268	10871	9335
269	10910	9294
270	10950	9253
271	10991	9213
272	11030	9171
273	11072	9132
274	11111	9090
275	11151	9050
276	11192	9010
277	11231	8969
278	11272	8929
279	11310	8887
280	11351	8846
281	11391	8806
282	11431	8765
283	11471	8724
284	11509	8682
285	11550	8642
286	11590	8602
287	11631	8561
288	11670	8520
289	11710	8480
290	11750	8439
291	11789	8398
292	11829	8357
293	11867	8315
294	11907	8274
295	11948	8234
296	11988	8193
297	12026	8152
298	12066	8111
299	12112	8074
300	12153	8035
301	12195	7995
302	12237	7956
303	12279	7917
304	12319	7876
305	12359	7835
306	12399	7795
307	12439	7754
308	12481	7714
309	12520	7673
310	12561	7633
311	12603	7594
312	12644	7554
313	12685	7514
314	12726	7474
315	12766	7433
316	12806	7392
317	12847	7352
318	12889	7313
319	12927	7271
320	12966	7230
321	13007	7190
322	13047	7149
323	13086	7108
324	13126	7068
325	13167	7027
326	13208	6988
327	13248	6947
328	13288	6906
329	13328	6866
330	13369	6825
331	13410	6785
332	13449	6745
333	13490	6704
334	13530	6664
335	13570	6623
336	13610	6583
337	13650	6542
338	13689	6501
339	13730	6461
340	13769	6420
341	13809	6379
342	13848	6338
343	13889	6298
344	13927	6257
345	13970	6218
346	14011	6177
347	14052	6138
348	14092	6097
349	14132	6056
350	14172	6016
351	14212	5975
352	14251	5934
353	14292	5894
354	14331	5853
355	14372	5813
356	14413	5773
357	14452	5732
358	14492	5692
359	14531	5651
360	14572	5611
361	14611	5570
362	14652	5529
363	14696	5490
364	14738	5451
365	14777	5410
366	14816	5369
367	14856	5328
368	14898	5289
369	14938	5248
370	14979	5208
371	15018	5167
372	15059	5127
373	15099	5087
374	15140	5046
375	15179	5005
376	15218	4965
377	15260	4925
378	15300	4884
379	15341	4844
380	15381	4804
381	15421	4763
382	15460	4722
383	15501	4682
384	15540	4641
385	15581	4601
386	15621	4561
387	15663	4521
388	15702	4480
389	15742	4440
390	15781	4399
391	15823	4359
392	15865	4319
393	15907	4279
394	15947	4239
395	15986	4198
396	16027	4158
397	16069	4118
398	16111	4078
399	16153	4038
400	16195	3998
401	16238	3958
402	16278	3918
403	16319	3877
