id_komentar,nama_akun,tanggal,text_cleaning,sentimen
UgxpSQuvHXdZavBykA54AaABAg,DMC Audio,2023-07-02 12:53:19+00:00,mau mau cepat lambat kendara ganti kendara bahan bakar fosil konversi teknologi awal selalu jadi tentang waktu debat tolol segera lupa,0
UgzcanuHNTA6S1w37TZ4AaABAg,Memori WilRay,2023-06-07 08:56:09+00:00,sih tuju banget ada ev   perintah mulai paling   korupsi ikut turun   sering mark up nota bensin perintah bakal kurang hasil bayar isi otomatis bayar negara pln ayo tunjukin serius perintah ajak masyarakat   alih ev mesti perintah duluan pertama ganti semua kendara dinas plat merah seluruh negeri kendara   bbm kitin aza ntar mau   mau infrastruktur spt spklu bakal nambah banyak seluruh negeri otomatis jabat negara bakal ngusahain spklu nambah banyak   ngajak keluarga jalan pake dinas ev ayo gassken,1
UgyoJ-ZI85tr4Nv9ipB4AaABAg,Perspektif,2023-07-05 14:51:55+00:00,stop bbm kelar urus simple,2
Ugxl0X9jOXzXJ8Ys4lZ4AaABAg,Hendra Budiman,2023-03-19 08:32:48+00:00, tahun    punya tertawa    tahun  mulai rewel utama baterai   mulai lemah   papa   beli baterai     bosan baterai   ganti harga jual lumayan anjlok,0
UgwN4MYDdAfoSe2fzdN4AaABAg,bagas k bakti,2023-06-06 15:13:17+00:00,lebih baik kembang teknologi hybrid,2
UgzUCN_FrRIQwHDlxYN4AaABAg,For YouTube,2023-06-07 05:20:01+00:00,hm terlalu penting masyarakat mau kerja n gaji   layak rumah tempat tinggal   beli,0
UgzRRJ4VK8wPEIQAtQN4AaABAg,jack hammer,2023-06-06 22:59:56+00:00, sekarang  trblik   dpt subsidi  orang  ksya,1
Ugwpnf3svMAR5TnqDy94AaABAg,Muhammad Nurdjajadi,2023-06-11 07:36:30+00:00,jangan terlalu ekor luar negeri hidup akan dikte luar buat atur sengsara rakyat pln bangun mahal mau pensiun dini beli mahal pajak mahal mau batas jalan ganjil genap pajak progressif terus mau apa,0
Ugwom6fJ5RK70HNEofJ4AaABAg,Ferdinan sitompul Sitompul,2023-06-08 03:55:47+00:00,anda   kredit senang hati ku pakai nambang,1
UgwKS2SyMzQPmXUtwSh4AaABAg,Nervan Kikio Chan,2023-06-06 22:43:25+00:00,banyak kurang harga kelas llangit,0
