id_komentar,nama_akun,tanggal,text_cleaning,sentimen
UgxEbDz5ljb9L3B3OJZ4AaABAg,Adi Sapri,2023-06-07 11:16:18+00:00,luhut muldoko   fikirin bangkrut    ,0
UgyDJDC9oFxwgUIcQkl4AaABAg,Andy Walkman,2023-07-03 02:35:04+00:00,masalah bukan stasiun charging harga mahal jt mini beli bbm bagus,0
Ugwp5g9tS5FJtdpuoZF4AaABAg,Mohita Official,2023-07-04 05:06:54+00:00,  jelas market mau high end   laku kayak avanza mana mau laku keras low end harga avanza segmen masyarakat low end harga high end   capai,2
UgxODkQhbNgTeHicdqV4AaABAg,Multiverse,2023-06-08 03:55:50+00:00,tempat charger ev batas kota besar harga ev cenderung lebih mahal lcgc masyarakat lebih tarik beli lcgc solusi spbu pertamina wajib punya charger ev harga ev murah minimal sama lcgc seri bawah jual ev bakal naik,2
UgzLRnIv0Ks3fW3BGcl4AaABAg,Jefry,2023-06-07 02:34:30+00:00,benerin dulu transportasi umum baru ngomong kendara ibarat  orang  jalan   mas seok suruh lari yya ambruk,0
UgyscdFolRP2x0L0AYF4AaABAg,wawang gatot,2023-06-06 21:39:18+00:00,suruh temen luhut sama moeldoko     beli     minat     punya duit,2
UgwrbdWh0iein7Ou8414AaABAg,Dangdut Mania Channel,2023-06-26 12:30:21+00:00,masyarakat kecil mana beli,0
UgyqeMsF3ZHsu4qXT6V4AaABAg,KONTOLE_DOWO,2022-12-18 12:51:29+00:00,wacana sama esemka,1
Ugz1x33Kdt-nm9Ts7gh4AaABAg,Yuyun Samonhir,2023-06-07 13:00:20+00:00,subsidi pupuk pangkas subsidi pangkas subsidi bbm pangkas subsidi pupuk pangkas alasanya beban uang negara pas minta subsidi besar besar padahal subsidi   pangkas rakyat subsidi kalang atas darisini paham mana wong cilik otak mana otak,0
UgzXLPsa5i0sFpjZHMN4AaABAg,Sigit Hadi Pratomo,2023-06-17 15:17:13+00:00,harga mahal jarak tempuh dekat bengkel susah,0
UgzMZ86yeNtFLFjcQ-14AaABAg,wikiwor wikipedia,2023-03-16 01:41:58+00:00,nunggu murah harga juta beli,2
UgzwK3omyJprkqZaddJ4AaABAg,Itsumo Saiko,2023-06-11 17:01:28+00:00,bagaimana kenderaan elektrik indonesia nak laku pusat changer   cukup jalan raya buruk apa kuasa beli rata rakyat indonesia rendah walaupun duduk ramai,0
UgyXU7lB-DIG5SHCROp4AaABAg,Daniel Heryanto,2023-06-09 02:31:53+00:00,infrastruktur kendara   rata  gimana  masyarakat mau ahli,2
UgxzGDR1tJmLN2d69U94AaABAg,pangeran sriwijaya,2023-06-13 12:32:04+00:00,kendara bagus angkut umum,1
UgxZ9gctLh3w5wDPn_h4AaABAg,johan azam,2023-06-07 12:09:27+00:00,  ingin rakyat sejahtera   rata lapang kerja   banyak sembako jangkau,2
UgwaGW7pL8OUT4-GHVJ4AaABAg,Ika Setiana,2023-06-09 14:59:18+00:00,jt model kayak becak kasih body mending buat beli rumah om,0
UgyEdAyP5ehYzf8n0at4AaABAg,Frane Xavi,2023-06-07 06:11:22+00:00,harga sama pilih   lebih aman,2
UgzopKbD6Pu1CLWLUvB4AaABAg,lukman bandolz,2023-06-16 00:03:44+00:00,  beli tengah atas banyak masyarakat tengah bawah motor dealernya   terasebar kota besar   daerah mungkin difikirkan beli,0
UgwGSkEEWUAIe4iA0P54AaABAg,"Hi, 1626",2023-06-25 07:37:37+00:00,  statement miris jual ev ngebandingin nilai jual konvensional krg tepat sebut   misal ranah otomotif   baru perlu sesuai bagai narasi   buruk kondisi sungguh entah apa tuju lebih tepat   misal nampilin tabel growth jual awal kenal simpul akhir tolak belakang berita,0
UgzFrcfZ9Y7qd_suG254AaABAg,Joko Listianto,2023-06-06 14:28:57+00:00,  pindah haluan   pake duit gp la semua biaya padahal mampu ekonomi jd kwndala bnyak kutat mas ekonomi blm   bla bla bla,0
UgyXpUgRo0UfnX5aeCF4AaABAg,POLTAK 313,2023-06-07 03:04:11+00:00,mana sih wuliing banyak bet sering papar jalan,1
UgygnK75teGhTUbGdfl4AaABAg,DaniAzis Sawanganelok,2023-06-07 07:03:19+00:00,  butuh masyarakat kecil bukan butuh lowong pekerjan,0
UgwtjBJEfJIyNYrZxlR4AaABAg,Agate Slate,2023-06-06 14:49:43+00:00,gampang tinggal hapus subsidi bbm jual bakal langsung naik,2
UgyCHUxOzvBAoR3Ih2t4AaABAg,Mr. Jack,2023-06-07 03:55:48+00:00, malas  banget  lihat  wajah muldx,1
UgzrBBTudqr01K6jHRN4AaABAg,aara ayesha,2023-06-13 07:46:13+00:00,perintah tak mampu rubah meski diskon mungkin   baterai universal ganti mana semua kendara jenis apa sama model lebih mudah motor maka baterai sama misal motor batetai kapasitan baterai mudah isi masyarakan bisnis isi baterai tinggal ganti unit baterai,0
UgxjV2FjkUFE23JpaCd4AaABAg,Aris Ris,2023-07-28 23:58:30+00:00,iklan kudu kencang,1
UgxMZFfOMdGKNwZdLOR4AaABAg,Fahreza Reza,2023-06-07 08:16:44+00:00,mahal bro contoh wuling ev negara   jt an indonesia jt an,2
UgwcXVbJCQcNiCKk8Z94AaABAg,MR REE,2023-06-17 11:38:30+00:00,salah satu   mahal,0
UgwdrLx5c0PEuD63jjR4AaABAg,The WakeUp Call,2023-06-29 01:28:48+00:00,  masyarakat percaya jangan paksa paksa lebih baik riset jadi ful bbm kelapa sawit nanti masyarakat tawar pilih ice bbm baru bev value for moneynya lebih besar pilih masyarakat,0
UgzxDp4SylFQaWrKBWt4AaABAg,Sri Atin,2023-06-06 13:44:27+00:00,terlalu mahal   pakai kota,0
Ugz8uyDx5LgUKAU1yT94AaABAg,Skt Brown,2023-06-07 05:51:42+00:00,masalah ukur harga jangkau perintah beda jauh arti harga jangkau masyarakat kata perintah jtan jangkau wuling ev masyrakat motor   jtan beli cicil itu banyak macet cicil mimpi basah siang bolong   laku,0
UgycHZeCZqYVdj-LC8V4AaABAg,Nanang Kurniawan,2023-06-06 15:33:21+00:00,subsidi tai subsidi lari usaha subsidi ngapa   benah ekonomi sumberdaya manusia dasar tolol   bikin bijak,0
UgynB3UidfEF4bLdBLV4AaABAg,Dia Melisah,2023-03-19 15:22:13+00:00,wacana tuju orang   milik uang lebih   beli buat subsidi gt mending uang buat sumbang rakyat     mampu bnyak rakyat   hidup kurang buat makan   susah boro beli,0
UgwLY1z5dzMDjPf8Eyp4AaABAg,Ismail Hawari,2023-06-07 06:03:56+00:00,rakyat lebih butuh subsidi bbm didik sehat rakyat kecil   beli   subsidi baru mau  orang  kaya  kok  subsidi gelo,0
UgwEKKMCKPUbxab_KSN4AaABAg,Herman Tito,2023-06-09 06:21:24+00:00,pribadi sih motor sangat bahaya suara mesin knalpot jalan belok anggap   kendara malah timbul crash   suara oke sebut klakson seperti   semua orang reflek   belok blind spot pencet klakson,0
UgypCY9vLqG6-pzybmt4AaABAg,Anif Wijayanto,2023-06-07 06:17:07+00:00,butuh proses dukung bukan lemah wong tuju masuk akal positif kaum oposisi cuma jual kata kata mulus ambisi politik,0
UgzcZ6Ezv5QRVcavFjB4AaABAg,TUHAN bukan orang ARAB Bilangan XXIII 19,2023-06-07 12:03:32+00:00,masyarakat indonesia mau beli ancam negara negara arab jual minyak mentah klaim pegang kunci sorga,2
UgziE-8JaTs9qOcHYiV4AaABAg,Aldi Alvaro Winata™,2023-06-06 15:55:03+00:00,hahaha sukurin   laku mampus   lagi ribet sih tenaga bbm   ribet antri spbu tenaga makin jam kurang efisien,0
UgyIjX41kIBdZ0zMAyt4AaABAg,Toko Jelek Surabaya,2023-06-14 23:37:45+00:00,imho alas kurang emisi sesat lama pln pakai indonesia mayoritas hasil bakar batu bara gas cuman plta potensial air data coba cek   percaya alih bensin   signifikan kurang emisi bisnis satu bisnis lain indonesia lebih   serap padahal lanjur kontrak besar sama punya tambang batu bara mau bensin apa batu bara sama lama transportasi massal susah   baik   niat beneran mau rangin emisi,0
UgxoR8cd6kN4gh7V4Qx4AaABAg,Abang Aeyadi,2023-06-07 13:29:12+00:00,siapa   bl motor lm jual besi bekas harga besi rongsok,2
